event_id,event_name,show_id,show_start,show_end,ticketed,base_price
1016713,Devising for Theatre (by Frantic Assembly),2046540,2016-03-08 14:00,2016-03-08 17:00,N,NULL
1016713,Devising for Theatre (by Frantic Assembly),2046541,2016-03-09 10:00,2016-03-09 13:00,N,NULL
1016713,Devising for Theatre (by Frantic Assembly),2046539,2016-03-07 14:00,2016-03-07 17:00,N,NULL
1016713,Devising for Theatre (by Frantic Assembly),2046542,2016-03-09 14:00,2016-03-09 17:00,N,NULL
1016712,Retro-Locomotion: Presentation on Backward Walking,2046537,2016-03-31 19:30,2016-03-31 21:30,N,NULL
1016710,ATC 2016 - Cool Classics: Sinfonia@sg,2046535,2016-03-31 20:15,2016-03-31 20:45,N,NULL
1016710,ATC 2016 - Cool Classics: Sinfonia@sg,2046534,2016-03-31 19:15,2016-03-31 19:45,N,NULL
1016709,The Studios 2016: Intrusions (by Jean Ng & Joavien Ng),2046629,2016-04-01 21:16,2016-04-02 21:50,N,NULL
1016708,Rhapsody XII: Silver Jubilee,2046531,2016-03-31 20:50,2016-03-31 21:50,N,NULL
1016707,ATC 2016 - Cool Classics: Yamaha String Ensemble,2046525,2016-03-30 19:15,2016-03-30 19:45,N,NULL
1016707,ATC 2016 - Cool Classics: Yamaha String Ensemble,2046526,2016-03-30 20:15,2016-03-30 20:45,N,NULL
1016706,The Big Stage,2046518,2016-03-29 19:30,2016-03-29 20:30,N,NULL
1016706,The Big Stage,2046519,2016-03-29 20:45,2016-03-29 21:45,N,NULL
1016705,Cool Classics: Aditi Gopinathan,2046499,2016-03-28 19:15,2016-03-28 19:45,N,NULL
1016705,Cool Classics: Aditi Gopinathan,2046500,2016-03-28 20:15,2016-03-28 20:45,N,NULL
1016705,Cool Classics: Aditi Gopinathan,2046521,2016-03-29 20:15,2016-03-29 20:45,N,NULL
1016705,Cool Classics: Aditi Gopinathan,2046520,2016-03-29 19:15,2016-03-29 19:45,N,NULL
1016702,Raga 2016: Rang Barse (by Sandeep Chatterjee and Friends),2046494,2016-03-27 19:00,2016-03-27 19:45,N,NULL
1016702,Raga 2016: Rang Barse (by Sandeep Chatterjee and Friends),2046495,2016-03-27 20:15,2016-03-27 21:00,N,NULL
1016701,Raga 2016: Swar Rangavali (by Kalyani Puranik and Temple of Fine Arts),2046490,2016-03-27 16:15,2016-03-27 16:45,N,NULL
1016701,Raga 2016: Swar Rangavali (by Kalyani Puranik and Temple of Fine Arts),2046493,2016-03-27 19:15,2016-03-27 19:45,N,NULL
1016701,Raga 2016: Swar Rangavali (by Kalyani Puranik and Temple of Fine Arts),2046492,2016-03-27 18:15,2016-03-27 18:45,N,NULL
1016701,Raga 2016: Swar Rangavali (by Kalyani Puranik and Temple of Fine Arts),2046491,2016-03-27 17:15,2016-03-27 17:45,N,NULL
1016699,Ocean of Songs 2016 - Memorial Concert for Leong Yoon Pin,2046484,2016-03-27 20:35,2016-03-27 21:30,N,NULL
1016698,A French Connection (by Take 5 Piano Quintet),2046482,2016-03-27 20:20,2016-03-27 21:00,N,NULL
1016697,Raga 2016: Holi Pichkari (by Crossroad Traffic),2046478,2016-03-26 20:15,2016-03-26 21:00,N,NULL
1016697,Raga 2016: Holi Pichkari (by Crossroad Traffic),2046479,2016-03-26 21:30,2016-03-26 22:15,N,NULL
1016697,Raga 2016: Holi Pichkari (by Crossroad Traffic),2046477,2016-03-26 19:00,2016-03-26 19:45,N,NULL
1016696,Raga 2016: Holi Mela (by Maharastra Mandal & Nepalese Society),2046473,2016-03-26 16:15,2016-03-26 16:45,N,NULL
1016696,Raga 2016: Holi Mela (by Maharastra Mandal & Nepalese Society),2046476,2016-03-26 19:15,2016-03-26 19:45,N,NULL
1016696,Raga 2016: Holi Mela (by Maharastra Mandal & Nepalese Society),2046475,2016-03-26 18:15,2016-03-26 18:45,N,NULL
1016696,Raga 2016: Holi Mela (by Maharastra Mandal & Nepalese Society),2046474,2016-03-26 17:15,2016-03-26 17:45,N,NULL
1016695,"Raga 2016 - Holi festival: Colour Throwing Event (by D J Milan, Singapore Dhol Federation)",2046469,2016-03-26 16:30,2016-03-26 18:30,N,NULL
1016694,An Evening of Fireworks - Noriko Ogawa,2046466,2016-03-26 20:25,2016-03-26 21:15,N,NULL
1016692,SSO CH Mar 2016 - Brahms' Piano Quartet,2046463,2016-03-26 20:30,2016-03-26 21:15,N,NULL
1016691,Hamlet,2046457,2016-03-25 20:00,2016-03-25 21:50,N,NULL
1016690,Singapore Percussion Ensemble Festival 2016,2046456,2016-03-25 17:05,2016-03-25 18:20,N,NULL
1016689,Raga 2016 - Holi:Festival of Colours (by Amit Dhamelia),2046452,2016-03-25 19:00,2016-03-25 19:45,N,NULL
1016689,Raga 2016 - Holi:Festival of Colours (by Amit Dhamelia),2046454,2016-03-25 21:30,2016-03-25 22:15,N,NULL
1016689,Raga 2016 - Holi:Festival of Colours (by Amit Dhamelia),2046453,2016-03-25 20:15,2016-03-25 21:00,N,NULL
1016688,Soiree 2016 - In Commemoration of Mr Lee Kuan Yew,2046451,2016-03-25 20:25,2016-03-25 21:00,N,NULL
1016687,Raga 2016: Holi Colors of Spring - by Global Indian International School (GIIS),2046449,2016-03-25 19:15,2016-03-25 19:45,N,NULL
1016687,Raga 2016: Holi Colors of Spring - by Global Indian International School (GIIS),2046448,2016-03-25 18:15,2016-03-25 18:45,N,NULL
1016687,Raga 2016: Holi Colors of Spring - by Global Indian International School (GIIS),2046447,2016-03-25 17:15,2016-03-25 17:45,N,NULL
1016687,Raga 2016: Holi Colors of Spring - by Global Indian International School (GIIS),2046446,2016-03-25 16:15,2016-03-25 16:45,N,NULL
1016685,OTW: Rocking The Region 2016 (by Ciao Turtle),2046441,2016-03-24 21:45,2016-03-24 22:30,N,NULL
1016685,OTW: Rocking The Region 2016 (by Ciao Turtle),2046440,2016-03-24 20:30,2016-03-24 21:15,N,NULL
1016685,OTW: Rocking The Region 2016 (by Ciao Turtle),2046439,2016-03-24 19:15,2016-03-24 20:00,N,NULL
1016684,The Studios 2016: Recalling Mother (by Checkpoint Theatre),2046660,2016-03-27 16:20,2016-03-27 16:43,N,NULL
1016684,The Studios 2016: Recalling Mother (by Checkpoint Theatre),2046659,2016-03-26 21:20,2016-03-26 21:44,N,NULL
1016684,The Studios 2016: Recalling Mother (by Checkpoint Theatre),2046653,2016-03-24 21:16,2016-03-24 21:43,N,NULL
1016684,The Studios 2016: Recalling Mother (by Checkpoint Theatre),2046657,2016-03-25 21:15,2016-03-25 21:47,N,NULL
1016684,The Studios 2016: Recalling Mother (by Checkpoint Theatre),2046658,2016-03-26 16:17,2016-03-26 16:52,N,NULL
1016683,Swiss Arts Expression 2016,2046433,2016-03-24 20:35,2016-03-24 22:30,N,NULL
1016682,Varsity Voices '16: Odssey by The NusChoir,2046431,2016-03-24 20:30,2016-03-24 21:15,N,NULL
1016680,ACCA Event,2046427,2016-03-23 19:00,2016-03-23 21:30,N,NULL
1016679,ATC 2016 - Cool Classics: Hue Yue Zhai Guqin Music & Arts Centre,2046423,2016-03-23 19:15,2016-03-23 19:45,N,NULL
1016679,ATC 2016 - Cool Classics: Hue Yue Zhai Guqin Music & Arts Centre,2046435,2016-03-24 19:15,2016-03-24 19:45,N,NULL
1016679,ATC 2016 - Cool Classics: Hue Yue Zhai Guqin Music & Arts Centre,2046436,2016-03-24 20:15,2016-03-24 20:45,N,NULL
1016679,ATC 2016 - Cool Classics: Hue Yue Zhai Guqin Music & Arts Centre,2046424,2016-03-23 20:15,2016-03-23 20:45,N,NULL
1016678,Bunga Sayang - A Gift of Love,2046422,2016-03-23 13:00,2016-03-23 22:00,N,NULL
1016678,Bunga Sayang - A Gift of Love,2046421,2016-03-23 13:00,2016-03-23 22:00,N,NULL
1016678,Bunga Sayang - A Gift of Love,2046420,2016-03-23 20:50,2016-03-23 21:15,N,NULL
1016676,Beethoven Last Years,2046283,2016-03-12 20:40,2016-03-12 21:30,N,NULL
1016676,Beethoven Last Years,2046252,2016-03-11 20:35,2016-03-11 21:30,N,NULL
1016674,SiNGerS III,2046413,2016-03-22 20:30,2016-03-22 21:00,N,NULL
1016673,Limelight 2016: Fuhua Secondary School Military Band,2046411,2016-03-22 20:40,2016-03-22 21:30,N,NULL
